1	1	Tu	1	+	49	1392	1501
2	2	Tu	1	+	1594	2724	1353
3	3	Op	1	+	3303	3548	294
4	3	Op	2	+	3535	4662	1026
5	3	Op	3	+	4659	6608	2264
6	3	Op	4	+	6664	9165	3013
7	4	Op	1	+	9340	9642	485
8	4	Op	2	+	9687	10253	593
9	4	Op	3	+	10279	10518	354
10	5	Op	1	+	10723	12699	2140
11	5	Op	2	+	12705	13157	651
12	6	Tu	1	+	13430	14797	1701
13	7	Tu	1	+	14924	16327	1545
14	8	Op	1	+	16452	17321	950
15	8	Op	2	+	17385	18305	318
16	9	Tu	1	-	18368	19999	1837
17	10	Tu	1	+	20252	23137	2620
18	11	Tu	1	+	23340	23852	468
19	12	Op	1	+	24087	25079	1158
20	12	Op	2	+	25114	25917	1085
21	12	Op	3	+	25940	26851	1304
22	13	Tu	1	+	27013	27390	396
23	14	Tu	1	+	27638	28165	611
24	15	Tu	1	-	28213	28416	231
25	16	Tu	1	+	28614	29384	730
26	17	Op	1	+	29533	31101	1698
27	17	Op	2	+	31125	32330	838
28	17	Op	3	+	32430	32810	451
29	18	Tu	1	+	33002	35593	2417
30	19	Tu	1	+	36254	36649	75
31	20	Tu	1	-	36918	39533	2139
32	21	Op	1	-	40077	40586	597
33	21	Op	2	-	40594	41061	559
34	22	Tu	1	+	41117	42073	728
35	23	Op	1	-	42165	43412	1425
36	23	Op	2	-	43405	44220	916
37	24	Op	1	+	44546	45025	545
38	24	Op	2	+	45104	46474	1326
39	25	Op	1	+	46575	47720	1253
40	25	Op	2	+	47739	48212	535
41	25	Op	3	+	48265	49722	1732
42	26	Op	1	+	49992	50531	579
43	26	Op	2	+	50524	51936	1671
44	26	Op	3	+	51933	52331	454
45	26	Op	4	+	52321	53178	1101
46	26	Op	5	+	53193	53723	507
47	26	Op	6	+	53809	54375	648
48	27	Tu	1	+	54490	54735	262
49	28	Tu	1	+	54916	55767	701
50	29	Op	1	+	55934	56887	1136
51	29	Op	2	+	56913	57605	632
52	30	Tu	1	+	57767	58606	999
53	31	Tu	1	+	58750	59571	1048
54	32	Tu	1	+	59782	61158	1755
55	33	Tu	1	+	61599	65642	4384
56	34	Tu	1	+	65778	67457	1921
57	35	Op	1	-	67504	67728	379
58	35	Op	2	-	67743	68729	1162
59	36	Op	1	+	68948	69562	767
60	36	Op	2	+	69575	70591	1242
61	37	Tu	1	+	70736	71431	744
62	38	Tu	1	-	71517	71591	77
63	39	Tu	1	+	71610	73949	2092
64	40	Tu	1	+	74493	75410	747
65	41	Tu	1	-	75454	76107	650
66	42	Op	1	+	76381	77274	939
67	42	Op	2	+	77287	77859	573
68	42	Op	3	+	77872	78063	307
69	42	Op	4	+	78076	78588	751
70	42	Op	5	+	78647	79207	958
71	42	Op	6	+	79231	79473	435
72	43	Op	1	+	79840	81075	1410
73	43	Op	2	+	81096	81275	324
74	44	Op	1	-	81431	82915	1122
75	44	Op	2	-	82909	84396	883
76	45	Tu	1	+	85107	91205	6730
77	46	Op	1	+	91627	92538	910
78	46	Op	2	+	92620	94125	1326
79	47	Op	1	+	94470	94709	333
80	47	Op	2	+	94724	97891	2496
81	48	Tu	1	+	98068	98829	845
82	49	Tu	1	+	98985	99770	783
83	50	Tu	1	-	99829	100509	697
84	51	Op	1	+	100766	101866	1372
85	51	Op	2	+	101841	102548	938
86	51	Op	3	+	102563	103456	1147
87	51	Op	4	+	103483	104754	1292
88	52	Tu	1	-	104791	105705	544
89	53	Tu	1	-	105872	106351	423
90	54	Tu	1	+	106594	107082	483
91	55	Op	1	+	107379	108605	1543
92	55	Op	2	+	108635	109654	1357
93	56	Op	1	+	109760	110692	1189
94	56	Op	2	+	110720	111409	448
95	56	Op	3	+	111457	112908	1396
96	57	Op	1	-	112999	113679	626
97	57	Op	2	-	113676	114011	471
98	58	Tu	1	+	114191	115207	1121
99	59	Tu	1	+	115439	117925	2635
100	60	Tu	1	+	118210	119478	1204
101	61	Op	1	-	119528	119971	437
102	61	Op	2	-	119968	121380	1144
103	62	Op	1	+	121478	122443	875
104	62	Op	2	+	122445	123233	783
105	63	Tu	1	-	123282	123827	649
106	64	Op	1	-	123994	124371	285
107	64	Op	2	-	124381	126732	2048
108	65	Tu	1	-	126835	127119	178
109	66	Tu	1	-	127276	128838	1609
110	67	Tu	1	-	129150	130073	826
111	68	Op	1	+	130228	130815	777
112	68	Op	2	+	130830	131438	767
113	69	Tu	1	-	131471	132484	930
114	70	Tu	1	+	132644	133651	942
115	71	Op	1	+	133792	135093	1655
116	71	Op	2	+	135121	135783	877
117	71	Op	3	+	135821	136216	391
118	71	Op	4	+	136312	137385	1506
119	71	Op	5	+	137439	138524	1353
120	72	Op	1	+	138730	140298	2077
121	72	Op	2	+	140291	141424	1178
122	72	Op	3	+	141424	142377	1171
123	73	Op	1	+	142653	142895	210
124	73	Op	2	+	142905	143246	269
125	74	Op	1	+	143548	144714	1358
126	74	Op	2	+	144731	145549	1085
127	74	Op	3	+	145567	146274	884
128	75	Tu	1	-	146314	147252	1126
129	76	Op	1	+	147489	148289	851
130	76	Op	2	+	148376	149296	730
131	76	Op	3	+	149293	150297	945
132	77	Tu	1	+	150426	151613	1495
133	78	Tu	1	-	151670	152356	823
134	79	Op	1	-	152531	153106	581
135	79	Op	2	-	153148	153828	810
136	80	Op	1	+	154173	154586	553
137	80	Op	2	+	154642	155112	817
138	80	Op	3	+	155196	157277	2453
139	81	Tu	1	+	157428	158615	1342
140	82	Tu	1	+	158797	159621	1010
141	83	Tu	1	+	159893	161059	1134
142	84	Op	1	+	161408	161716	373
143	84	Op	2	+	161738	162367	778
144	84	Op	3	+	162393	163016	724
145	84	Op	4	+	163016	163306	358
146	84	Op	5	+	163346	164176	704
147	84	Op	6	+	164219	164497	372
148	84	Op	7	+	164519	164866	434
149	84	Op	8	+	164933	165589	839
150	84	Op	9	+	165592	166026	517
151	84	Op	10	+	166016	166204	325
152	84	Op	11	+	166228	166494	357
153	84	Op	12	+	166552	166920	477
154	84	Op	13	+	166956	167267	444
155	84	Op	14	+	167293	167832	786
156	84	Op	15	+	167851	168036	279
157	84	Op	16	+	168072	168470	563
158	84	Op	17	+	168502	169038	617
159	85	Op	1	+	169199	169555	368
160	85	Op	2	+	169576	170076	689
161	85	Op	3	+	170091	170270	402
162	85	Op	4	+	170318	170758	615
163	85	Op	5	+	170759	172057	1373
164	85	Op	6	+	172144	172794	839
165	86	Op	1	+	173005	173223	309
166	86	Op	2	+	173256	173372	84
167	86	Op	3	+	173392	173757	625
168	86	Op	4	+	173785	174174	443
169	86	Op	5	+	174255	175193	1124
170	86	Op	6	+	175267	175650	499
171	87	Op	1	+	175925	177124	1294
172	87	Op	2	+	177140	178315	1251
173	88	Op	1	+	178517	179356	1054
174	88	Op	2	+	179332	180201	953
